"Name","Size","Date Modified","Date Created"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\05 四圣谛详解5 苦谛5.mp4","283.60 MB","2022-01-11 10:27:50 PM","2024-10-26 12:03:51 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\16 四圣谛详解5 苦谛5.mp4","283.60 MB","2022-01-11 10:27:50 PM","2023-11-13 11:45:59 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\01 四圣谛详解1 苦谛1.mp4","304.94 MB","2022-02-16 11:58:23 PM","2024-10-26 12:10:48 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\12 四圣谛详解1 苦谛1.mp4","304.94 MB","2022-02-16 11:29:03 PM","2023-11-13 11:44:04 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\人生智慧\人生智慧系列其他\01 佛教的世界观(2010).mp4","315.00 MB","2021-12-29 2:38:24 AM","2021-12-29 2:38:24 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\13 佛教的世界观(2010).mp4","315.00 MB","2021-12-29 2:38:24 AM","2021-12-29 2:38:24 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\佛法与生活\01 佛法融入生活：如何面对痛苦1.mp4","317.91 MB","2021-12-29 1:26:44 AM","2021-12-29 1:26:44 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\03-1 佛法融入生活：如何面对痛苦1.mp4","317.91 MB","2021-12-29 1:26:44 AM","2021-12-29 1:26:44 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\06 四圣谛详解6 苦谛6.mp4","323.33 MB","2022-03-08 5:02:20 AM","2024-10-26 12:17:54 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\17 四圣谛详解6 苦谛6.mp4","323.33 MB","2022-03-08 5:02:20 AM","2023-11-13 11:47:40 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\02 2015马来西亚系列讲座 我们为什么不幸福.mp4","328.33 MB","2020-12-23 11:10:01 AM","2020-12-23 11:10:01 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\环球系列\马来西亚\2015马来西亚系列讲座 我们为什么不幸福.mp4","328.33 MB","2020-12-23 11:10:01 AM","2020-12-23 11:10:01 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\03 四圣谛详解3 苦谛3.mp4","336.46 MB","2022-01-14 12:56:22 AM","2024-10-26 12:07:16 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\14 四圣谛详解3 苦谛3.mp4","336.46 MB","2022-01-14 12:56:21 AM","2023-11-13 11:45:14 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\09 四圣谛详解9 集谛3.mp4","337.85 MB","2022-03-11 1:48:46 AM","2024-10-26 12:26:31 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\20 四圣谛详解9 集谛3.mp4","337.85 MB","2022-03-11 1:48:46 AM","2023-11-13 11:48:43 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第三册\从《佛说稻秆经》谈佛教人生观和世界观5.mp4","345.22 MB","2021-12-29 6:00:57 AM","2021-12-29 6:00:57 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\经典解读\佛说稻秆经\从《佛说稻秆经》谈佛教人生观和世界观5.mp4","345.22 MB","2021-12-29 6:00:57 AM","2021-12-29 6:00:57 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\禅定\08 慧灯禅修课39 寂止的实修法-有相寂止2.mp4","349.70 MB","2024-03-05 2:55:42 AM","2024-10-26 8:34:41 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\07-2 慧灯禅修课39 寂止的实修法-有相寂止2.mp4","349.70 MB","2024-03-05 2:55:42 AM","2024-10-26 11:14:30 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\人生智慧\提升心灵\11 在内卷的时代怎么安定我们的心灵.mp4","350.21 MB","2022-01-05 10:52:18 PM","2023-11-13 11:32:33 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\人生智慧\提升心灵\13 在内卷的时代怎么安定我们的心灵.mp4","350.21 MB","2022-01-05 10:52:18 PM","2022-01-05 10:52:18 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\上师瑜伽\04 莲花生大师修法.mp4","360.99 MB","2021-12-29 6:08:53 PM","2021-12-29 6:08:53 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\01 莲花生大师修法.mp4","360.99 MB","2021-12-29 6:08:53 PM","2021-12-29 6:08:53 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\佛法与生活\06 佛法融入生活：行为转为道用2.mp4","366.72 MB","2021-12-29 1:27:30 AM","2021-12-29 1:27:30 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第一册\07-2 佛法融入生活：行为转为道用2.mp4","366.72 MB","2021-12-29 1:27:30 AM","2021-12-29 1:27:30 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\人生智慧\智慧系列\26 《金刚经》和《心经》1.mp4","369.19 MB","2022-08-08 2:38:26 AM","2023-11-13 11:35:42 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\经论解读\01 《金刚经》和《心经》1.mp4","369.19 MB","2022-08-08 2:38:26 AM","2024-10-26 9:43:53 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\禅定\10 慧灯禅修课41 寂止的实修法-有相寂止4.mp4","372.73 MB","2024-03-15 5:12:20 AM","2024-10-26 8:58:21 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\07-4 慧灯禅修课41 寂止的实修法-有相寂止4.mp4","372.73 MB","2024-03-15 5:12:20 AM","2024-10-26 11:01:59 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\佛法见修系列其他\03 语加持的修法.mp4","376.81 MB","2021-12-29 6:06:21 PM","2021-12-29 6:06:21 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\16 语加持的修法.mp4","376.81 MB","2021-12-29 6:06:21 PM","2021-12-29 6:06:21 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\07 四圣谛详解7 集谛1.mp4","378.18 MB","2022-04-14 1:48:15 AM","2024-10-26 2:58:38 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\18 四圣谛详解7 集谛1.mp4","378.18 MB","2022-04-14 12:30:34 AM","2023-11-13 11:47:48 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\禅定\07 慧灯禅修课38 寂止的实修法-有相寂止1.mp4","381.89 MB","2024-03-15 5:12:20 AM","2024-10-26 8:52:30 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\07-1 慧灯禅修课38 寂止的实修法-有相寂止1.mp4","381.89 MB","2024-03-15 5:12:20 AM","2024-10-26 11:20:12 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\禅定\09 慧灯禅修课40 寂止的实修法-有相寂止3.mp4","382.04 MB","2024-03-05 2:56:04 AM","2024-10-26 8:40:13 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\07-3 慧灯禅修课40 寂止的实修法-有相寂止3.mp4","382.04 MB","2024-03-05 2:56:04 AM","2024-10-26 11:08:13 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\04 四圣谛详解4 苦谛4.mp4","386.55 MB","2022-03-07 8:27:04 PM","2024-10-26 12:14:03 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\15 四圣谛详解4 苦谛4.mp4","386.55 MB","2022-03-07 8:27:04 PM","2023-11-13 11:45:59 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\佛法与生活\03 佛法融入生活：如何面对痛苦3.mp4","392.59 MB","2021-12-29 1:27:02 AM","2021-12-29 1:27:02 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\03-3 佛法融入生活：如何面对痛苦3.mp4","392.59 MB","2021-12-29 1:27:02 AM","2021-12-29 1:27:02 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\菩提心\08 慧灯禅修课24 加行的修法-菩提心1.mp4","395.08 MB","2021-12-27 9:07:58 PM","2023-11-13 12:17:23 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\02-1 慧灯禅修课24 加行的修法-菩提心1.mp4","395.08 MB","2021-12-27 9:07:58 PM","2021-12-27 9:07:58 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛教心理学\四圣谛详解\02 四圣谛详解2 苦谛2.mp4","399.55 MB","2022-01-11 12:15:24 AM","2024-10-26 11:53:36 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\四圣谛\13 四圣谛详解2 苦谛2.mp4","399.55 MB","2022-01-11 12:15:24 AM","2023-11-13 11:44:42 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\禅定\11 慧灯禅修课42 寂止的实修法-无相寂止.mp4","403.95 MB","2024-03-05 2:56:30 AM","2024-10-26 8:46:41 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第四册\08 慧灯禅修课42 寂止的实修法-无相寂止.mp4","403.95 MB","2024-03-05 2:56:30 AM","2024-10-26 10:55:02 PM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\佛法与生活\02 佛法融入生活：如何面对痛苦2.mp4","408.47 MB","2021-12-29 1:26:52 AM","2021-12-29 1:26:52 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第二册\03-2 佛法融入生活：如何面对痛苦2.mp4","408.47 MB","2021-12-29 1:26:52 AM","2021-12-29 1:26:52 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\佛法见修\修行次第\01 解脱的原理.mp4","408.68 MB","2021-09-08 3:27:20 AM","2021-09-08 3:27:20 AM"
"\\192.168.1.223\tmp\金密钥\课程视频\慧灯禅修课\慧灯禅修课第一册\09 解脱的原理.mp4","408.68 MB","2021-12-29 1:22:08 AM","2021-12-29 1:22:08 AM"
